patch_id,T,B,fC_0,fC,I,F,S,category
99,0.22221797435190613,0,0.1288743314445403,0.1288743314445403,0,0,0,non_int
100,0.6111394028068273,3,0.31530891755020146,0.31530891755020146,0,0,0,non_int
101,0.48277529465962193,1,0.0785756506212108,0.0785756506212108,0,0,0,non_int
102,0.6387989552066868,2,0.0731689971497906,0.0731689971497906,0,0,0,non_int
103,0.7274890914966808,2,0.060265486019911205,0.060265486019911205,0,0,0,non_int
104,9.507877396764357,16,0.5153941965780474,0.7576970982890237,1,0,1,success
105,0.3872923406849095,0,0.024171066482865596,0.024171066482865596,1,1,0,fail
106,0.5954318558092075,0,0.33557962184665374,0.33557962184665374,0,0,0,non_int
107,0.08328701075009669,0,0.4818919715362275,0.4818919715362275,1,1,0,fail
108,0.2251982432238841,0,0.23585449716499413,0.23585449716499413,0,0,0,non_int
109,0.10872746069722093,0,0.12303285395953856,0.12303285395953856,0,0,0,non_int
110,1.631438115134768,2,0.28437585287703226,0.28437585287703226,0,0,0,non_int
111,10.339878153098322,19,0.03690092213482198,0.518450461067411,1,0,1,success
112,0.3094280418233361,1,0.609665795873093,0.609665795873093,1,1,0,fail
113,0.03188162484053493,0,0.45345900382911103,0.45345900382911103,0,0,0,non_int
114,1.8688538437143354,6,0.7559333822889284,0.7559333822889284,0,0,0,non_int
115,0.2267671451134571,0,0.010096448931350577,0.010096448931350577,0,0,0,non_int
116,6.435013106536664,16,0.28036682254667816,0.6401834112733391,1,0,1,success
117,1.5087548132023234,5,0.22729657867392358,0.22729657867392358,0,0,0,non_int
118,0.8487656549472323,0,0.21390504985481198,0.21390504985481198,0,0,0,non_int
119,0.7532696642910528,1,0.07051938961173902,0.07051938961173902,0,0,0,non_int
120,0.25158236229801306,0,0.6297221820850815,0.6297221820850815,0,0,0,non_int
121,3.236134640899717,6,0.1606825313676205,0.5803412656838103,1,0,1,success
122,5.256355716633702,9,0.6283178163725277,0.8141589081862639,1,0,1,success
123,0.0012349247567944792,0,0.04605213615869039,0.04605213615869039,0,0,0,non_int
124,3.583285173605204,10,0.3120694287587681,0.6560347143793841,1,0,1,success
125,0.10940376680140625,0,0.18222863496924666,0.18222863496924666,1,1,0,fail
126,0.07223771561060631,0,0.3988395249548387,0.3988395249548387,1,1,0,fail
127,0.6871412534383556,0,0.014957971989799727,0.014957971989799727,0,0,0,non_int
128,2.8306509409792384,2,0.1679941185455855,0.1679941185455855,0,0,0,non_int
129,1.8737023891821443,1,0.1850637164109826,0.1850637164109826,0,0,0,non_int
130,0.7601943532323335,2,0.21151443691527014,0.21151443691527014,0,0,0,non_int
131,12.219803194655567,20,0.009994069015322434,0.5049970345076612,1,0,1,success
132,1.8342421272357268,5,0.6746484241460083,0.8373242120730042,1,0,1,success
133,0.26492126059405025,0,0.2501118585908574,0.2501118585908574,1,1,0,fail
134,4.354525521498537,8,0.05392312822599263,0.5269615641129963,1,0,1,success
135,0.9109416916558684,1,0.26904683117974176,0.26904683117974176,0,0,0,non_int
